Gene Symbol,Description,Category,Uniprot ID,Gifts,GC Id,Relevance score, GeneCards Link
"MAP1LC3B","Microtubule Associated Protein 1 Light Chain 3 Beta","Protein Coding","Q9GZQ8","54","GC16P130587","7.77919340133667","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3B"
"ATG5","Autophagy Related 5","Protein Coding","Q9H1Y0","58","GC06M106045","7.70054483413696","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG5"
"ULK1","Unc-51 Like Autophagy Activating Kinase 1","Protein Coding","O75385","57","GC12P131894","7.40536785125732","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ULK1"
"MAP1LC3A","Microtubule Associated Protein 1 Light Chain 3 Alpha","Protein Coding","Q9H492","53","GC20P034546","7.39491176605225","https://www.genecards.org/cgi-bin/carddisp.pl?gene=MAP1LC3A"
"SQSTM1","Sequestosome 1","Protein Coding","Q13501","62","GC05P179806","6.99877071380615","https://www.genecards.org/cgi-bin/carddisp.pl?gene=SQSTM1"
"ATG12","Autophagy Related 12","Protein Coding","O94817","54","GC05M115828","6.97968101501465","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG12"
"PRKN","Parkin RBR E3 Ubiquitin Protein Ligase","Protein Coding","O60260","62","GC06M161348","6.70023488998413","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PRKN"
"PINK1","PTEN Induced Kinase 1","Protein Coding","Q9BXM7","59","GC01P083848","6.52963066101074","https://www.genecards.org/cgi-bin/carddisp.pl?gene=PINK1"
"VDAC1","Voltage Dependent Anion Channel 1","Protein Coding","P21796","59","GC05M133975","5.96390438079834","https://www.genecards.org/cgi-bin/carddisp.pl?gene=VDAC1"
"ATG9A","Autophagy Related 9A","Protein Coding","Q7Z3C6","53","GC02M219219","5.70017290115356","https://www.genecards.org/cgi-bin/carddisp.pl?gene=ATG9A"
"OPTN","Optineurin","Protein Coding","Q96CV9","56","GC10P013099","5.48565626144409","https://www.genecards.org/cgi-bin/carddisp.pl?gene=OPTN"
